"Indianapolis, IN","Phoenix, AZ",1699
"Indianapolis, IN","Portland, OR",2248
"Indianapolis, IN","Sacramento, CA",2198
"Indianapolis, IN","San Antonio, TX",1173
"Indianapolis, IN","Toronto, Ontario",515
"Indianapolis, IN","Salt Lake City, UT",1525
"Indianapolis, IN","Washington, D.C",577
"Memphis, TN","Miami, FL",1052
"Memphis, TN","Boston, MA",1309
"Memphis, TN","Los Angles, CA",1793
"Memphis, TN","New York, NY",1096
"Memphis, TN","San Francisco, CA",2091
"Memphis, TN","Atlanta, GA",391
"Memphis, TN","Brooklyn, NY",1105
"Memphis, TN","Charlotte, NC",620
"Memphis, TN","Chicago, IL",533
"Memphis, TN","Cleveland, OH",730
"Memphis, TN","Dallas, TX",453
"Memphis, TN","Denver, CO",1094
"Memphis, TN","Detroit, MI",742
"Memphis, TN","Houston, TX",568
"Memphis, TN","Indianapolis, IN",464
"Memphis, TN","Memphis, TN",2
"Memphis, TN","Oklahoma City, OK",466
"Memphis, TN","Milwaukee, WI",622
"Memphis, TN","Minneapolis, MN",828
"Memphis, TN","New Orleans, LA",395
"Memphis, TN","Orlando, FL",829
"Memphis, TN","Philadelphia, PA",1015
"Memphis, TN","Phoenix, AZ",1424
"Memphis, TN","Portland, OR",2250
"Memphis, TN","Sacramento, CA",2085
"Memphis, TN","San Antonio, TX",726
"Memphis, TN","Toronto, Ontario",971
"Memphis, TN","Salt Lake City, UT",1527
"Memphis, TN","Washington, D.C",876
"Oklahoma City, OK","Miami, FL",1509
"Oklahoma City, OK","Boston, MA",1690
"Oklahoma City, OK","Los Angles, CA",1328
"Oklahoma City, OK","New York, NY",1450
"Oklahoma City, OK","San Francisco, CA",1627
"Oklahoma City, OK","Atlanta, GA",848
"Oklahoma City, OK","Brooklyn, NY",1471
"Oklahoma City, OK","Charlotte, NC",1086
"Oklahoma City, OK","Chicago, IL",794
"Oklahoma City, OK","Cleveland, OH",1056
"Oklahoma City, OK","Dallas, TX",207
"Oklahoma City, OK","Denver, CO",678
"Oklahoma City, OK","Detroit, MI",1026
"Oklahoma City, OK","Houston, TX",445
"Oklahoma City, OK","Indianapolis, IN",740
"Oklahoma City, OK","Memphis, TN",466
"Oklahoma City, OK","Oklahoma City, OK",2
"Oklahoma City, OK","Milwaukee, WI",870
"Oklahoma City, OK","Minneapolis, MN",788
"Oklahoma City, OK","New Orleans, LA",696
"Oklahoma City, OK","Orlando, FL",1285
"Oklahoma City, OK","Philadelphia, PA",1383
"Oklahoma City, OK","Phoenix, AZ",960
"Oklahoma City, OK","Portland, OR",1909
"Oklahoma City, OK","Sacramento, CA",1621
"Oklahoma City, OK","San Antonio, TX",467
"Oklahoma City, OK","Toronto, Ontario",1255
"Oklahoma City, OK","Salt Lake City, UT",1185
"Oklahoma City, OK","Washington, D.C",1342
"Milwaukee, WI","Miami, FL",1477
"Milwaukee, WI","Boston, MA",1074
"Milwaukee, WI","Los Angles, CA",2056
"Milwaukee, WI","New York, NY",880
"Milwaukee, WI","San Francisco, CA",2196
"Milwaukee, WI","Atlanta, GA",815
"Milwaukee, WI","Brooklyn, NY",885
"Milwaukee, WI","Charlotte, NC",851
"Milwaukee, WI","Chicago, IL",93
"Milwaukee, WI","Cleveland, OH",436
"Milwaukee, WI","Dallas, TX",1002
"Milwaukee, WI","Denver, CO",1042
"Milwaukee, WI","Detroit, MI",373
"Milwaukee, WI","Houston, TX",1149
"Milwaukee, WI","Indianapolis, IN",279
"Milwaukee, WI","Memphis, TN",622
"Milwaukee, WI","Oklahoma City, OK",870
"Milwaukee, WI","Milwaukee, WI",2
"Milwaukee, WI","Minneapolis, MN",337
"Milwaukee, WI","New Orleans, LA",1015
"Milwaukee, WI","Orlando, FL",1253
"Milwaukee, WI","Philadelphia, PA",850
"Milwaukee, WI","Phoenix, AZ",1829
"Milwaukee, WI","Portland, OR",2066
"Milwaukee, WI","Sacramento, CA",2110
"Milwaukee, WI","San Antonio, TX",1275
"Milwaukee, WI","Toronto, Ontario",611
"Milwaukee, WI","Salt Lake City, UT",1437
"Milwaukee, WI","Washington, D.C",792
"Minneapolis, MN","Miami, FL",1789
"Minneapolis, MN","Boston, MA",1390
"Minneapolis, MN","Los Angles, CA",1926
"Minneapolis, MN","New York, NY",1196
"Minneapolis, MN","San Francisco, CA",2001
"Minneapolis, MN","Atlanta, GA",1127
"Minneapolis, MN","Brooklyn, NY",1200
"Minneapolis, MN","Charlotte, NC",1163
"Minneapolis, MN","Chicago, IL",408
"Minneapolis, MN","Cleveland, OH",751
"Minneapolis, MN","Dallas, TX",939
"Minneapolis, MN","Denver, CO",913
"Minneapolis, MN","Detroit, MI",693
"Minneapolis, MN","Houston, TX",1176
"Minneapolis, MN","Indianapolis, IN",591
"Minneapolis, MN","Memphis, TN",828
"Minneapolis, MN","Oklahoma City, OK",787
"Minneapolis, MN","Milwaukee, WI",337
"Minneapolis, MN","Minneapolis, MN",2
"Minneapolis, MN","New Orleans, LA",1221
"Minneapolis, MN","Orlando, FL",1565
"Minneapolis, MN","Philadelphia, PA",1165
"Minneapolis, MN","Phoenix, AZ",1642
"Minneapolis, MN","Portland, OR",1731
"Minneapolis, MN","Sacramento, CA",1916
"Minneapolis, MN","San Antonio, TX",1251
"Minneapolis, MN","Toronto, Ontario",932
"Minneapolis, MN","Salt Lake City, UT",1243
"Minneapolis, MN","Washington, D.C",1108
"New Orleans, LA","Miami, FL",863
"New Orleans, LA","Boston, MA",1517
"New Orleans, LA","Los Angles, CA",1892
"New Orleans, LA","New York, NY",1304
"New Orleans, LA","San Francisco, CA",2221
"New Orleans, LA","Atlanta, GA",469
"New Orleans, LA","Brooklyn, NY",1313
"New Orleans, LA","Charlotte, NC",715
"New Orleans, LA","Chicago, IL",927
"New Orleans, LA","Cleveland, OH",1052
"New Orleans, LA","Dallas, TX",493
